asin,stratum,is_pure_bath_bomb_gold,n_bomb_balls_gold,exclude_reason_gold,annotator,n_annotations,notes
B08F411PXS,bundle,false,,bundle,Tianyu,1,accepted model prediction
B08FBQLHQT,craft_kit,false,,not_bath_bomb,Tianyu,1,
B08HHQ8679,pure,true,1,,Tianyu,1,accepted rule prediction
B08HKDM868,pure,false,,toiletry,Tianyu,1,
B08JC9Y4BW,pure,true,25,,Tianyu,1,accepted rule prediction
B08L4P15H3,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B08LDW3BSN,bundle,false,,bundle,Tianyu,1,accepted model prediction
B08N5C75FH,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B08Q42LFG7,pure,true,5,,Tianyu,1,
B08S79V2B3,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B08SHH6PSY,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B08V4ZC94D,bundle,false,,bundle,Tianyu,1,accepted model prediction
B09264BRKF,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0958QV9GS,bundle,false,,bundle,Tianyu,1,accepted model prediction
B097BHKQL7,pure,true,4,,Tianyu,1,accepted rule prediction
B099RZMLBM,bundle,false,,bundle,Tianyu,1,accepted model prediction
B09DDK5C9N,substitute,false,,substitute,Tianyu,1,accepted model prediction
B09F6CYT85,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B09HR9VVKS,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B09JJ8N41T,pure,true,8,,Tianyu,1,
B09LCJWBBC,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B09MSS55LQ,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B09PBVTDWB,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B09QHKDKZS,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0B1TW786P,substitute,false,,substitute,Tianyu,1,accepted model prediction
B0B2JSQXT4,craft_kit,false,,not_bath_bomb,Tianyu,1,
B0B58CXS7K,pure,true,1,,Tianyu,1,accepted rule prediction
B0B627L9NL,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0B7MCF8QN,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0B8MH9BF3,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0B8Q672K3,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0BKPV1MGP,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0BMPRWC5F,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0BMW97FG8,pure,true,1,,Tianyu,1,accepted rule prediction
B0BNVXQ6S8,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0BP75GYLR,craft_kit,true,6,,Tianyu,1,
B0BPQFH492,substitute,false,,substitute,Tianyu,1,accepted model prediction
B0BT8SY6Z6,pure,true,1,,Tianyu,1,accepted rule prediction
B0BW4WVBV7,toiletry,false,,toiletry,Tianyu,1,accepted model prediction
B0BX1L33SX,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0C2PW8HMT,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0C2PWW744,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0C5MNB4V9,pure,true,6,,Tianyu,1,accepted rule prediction
B0C61WNDDD,pure,true,1,,Tianyu,1,accepted rule prediction
B0C6YGTDQL,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0CDK1WLRZ,pure,false,,toiletry,Tianyu,1,
B0CDL9ZZ95,substitute,false,,substitute,Tianyu,1,accepted model prediction
B0CJ4Q5GH4,pure,true,15,,Tianyu,1,accepted rule prediction
B0CMJT2LXQ,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0CNS9FCKP,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0CQKXV9J8,substitute,false,,substitute,Tianyu,1,accepted model prediction
B0CR6BLX96,craft_kit,true,12,,Tianyu,1,
B0CRBKJ6PV,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0CS572LRP,substitute,false,,substitute,Tianyu,1,accepted model prediction
B0CSD8355X,pure,false,,bundle,Tianyu,1,
B0CTCHTR3R,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0CWV4MNG8,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0CXT4HB3S,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0D564NFDQ,craft_kit,true,1,,Tianyu,1,
B0D73LXH3P,pure,true,5,,Tianyu,1,accepted rule prediction
B0D94PRDQ4,toiletry,false,,toiletry,Tianyu,1,accepted model prediction
B0DG3MX6KF,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0DLH6VW68,toiletry,false,,toiletry,Tianyu,1,accepted model prediction
B0DMN8H9TR,craft_kit,true,14,,Tianyu,1,
B0DP3Q4GGN,bundle,true,8,,Tianyu,1,
B0DQSDK4Z5,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B0DRT8RHZS,bundle,false,,bundle,Tianyu,1,accepted model prediction
B0DTXY38N9,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
